,Label,Database,Model,Output dim,Region,Side,Covariates,Class,Heritability,Std. error,P-value
4,neofac_E,HCP,Barlo Twin,256,,, Age*SEX p = 0.0512588,prob,0.46,0.06,2.8e-13
3,neofac_C,HCP,Barlo Twin,256,,, SEX p = 0.0033783,prob,0.46,0.06,5.5e-13
1,neofac_N,HCP,Barlo Twin,256,,, SEX p = 0.0468656,prob,0.44,0.07,1.2e-09
6,Flanker_Unadj,HCP,Barlo Twin,256,,, SEX p = 0.0075925,prob,0.34,0.06,2.6e-08
5,Flanker_AgeAdj,HCP,Barlo Twin,256,,, SEX p = 0.0275798,prob,0.32,0.06,1e-07
34,Zero_PCS,HCP,Barlo Twin,256,PCS,Asymmetry, SEX p = 0.0151077,PC,0.28,0.07,2.3e-05
68,prob_pred_scaled_on_ACCP,HCP,Barlo Twin,256,PCS,Left,,prob,0.26,0.07,4.2e-05
0,neofac_A,HCP,Barlo Twin,256,,, SEX p = 1.1351969e-08 Age*SEX p = 0.0567923,prob,0.28,0.07,4.7e-05
53,prob_pred_scaled_on_UKB_brain_vol_sum,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
51,prob_pred_scaled_on_UKB_brain_vol,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
49,prob_pred_scaled_on_UKB,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
95,PC9,HCP,Barlo Twin,256,Orbital,Left, Age p = 0.0741301 SEX p = 0.0004463 Age^2 p = 0.0259637,PC,0.25,0.07,6e-05
91,4thPC,HCP,Barlo Twin,256,Orbital,Left, Age^2 p = 0.0108502 brain_volume_scl p = 0.0491846,PC,0.23,0.07,0.00012
57,prob_pred_scaled_on_UKB_2,HCP,Barlo Twin,256,PCS,Left,,prob,0.23,0.07,0.00019
104,PC4,HCP,Barlo Twin,256,Orbital,Left, Age^2 p = 0.0117697 nb_vox_tot_raw_scaled p = 0.0143798,PC,0.23,0.07,0.0002
2,neofac_O,HCP,Barlo Twin,256,,, SEX p = 0.0075294,prob,0.53,0.13,0.00023
86,PC11,HCP,Barlo Twin,256,Orbital,Left, Age p = 0.0327919 Age*SEX p = 0.0337657 Age^2 p = 0.0621815,PC,0.21,0.06,0.00024
38,9thPC,HCP,Barlo Twin,256,PCS,Left,,PC,0.21,0.07,0.00075
59,PC9,HCP,Barlo Twin,256,PCS,Left,,PC,0.21,0.07,0.00075
