Label,Database,Model,Output dim,Region,Side,Covariates,Class,Heritability,Std. error,P-value
neofac_A,HCP,Barlo Twin,256,,,None SEX p = 1.1351969e-08 Age*SEX p = 0.0567923,prob,0.28,0.07,4.7e-05
neofac_N,HCP,Barlo Twin,256,,,None SEX p = 0.0468656,prob,0.44,0.07,1.2e-09
neofac_O,HCP,Barlo Twin,256,,,None SEX p = 0.0075294,prob,0.53,0.13,2.3e-04
neofac_C,HCP,Barlo Twin,256,,,None SEX p = 0.0033783,prob,0.46,0.06,5.5e-13
neofac_E,HCP,Barlo Twin,256,,,None Age*SEX p = 0.0512588,prob,0.46,0.06,2.8e-13
Flanker_AgeAdj,HCP,Barlo Twin,256,,,None SEX p = 0.0275798,prob,0.32,0.06,1.0e-07
Flanker_Unadj,HCP,Barlo Twin,256,,,None SEX p = 0.0075925,prob,0.34,0.06,2.6e-08
binary_pred,HCP,Barlo Twin,256,PCS,Right,None Age^2 p = 0.0790279,binary,0.03,0.07,3.0e-01
prob_pred,HCP,Barlo Twin,256,PCS,Right,None SEX p = 0.0644423,prob,0.08,0.07,1.0e-01
binary_asymmetry_diff,HCP,Barlo Twin,256,PCS,Asymmetry,,binary,0.12,0.06,3.0e-02
asymmetry_combines_prob_PCS,HCP,Barlo Twin,256,PCS,Asymmetry,,prob,0.1,0.07,7.2e-02
Left_without_Right_PCS,HCP,Barlo Twin,256,PCS,Asymmetry,,prob,0.0,,5.0e-01
binary_asymmetry_prob,HCP,Barlo Twin,256,PCS,Asymmetry,None SEX p = 0.0616630,binary,0.07,0.07,1.2e-01
Two_PCS,HCP,Barlo Twin,256,PCS,Asymmetry,,prob,0.0,,5.0e-01
Zero_PCS,HCP,Barlo Twin,256,PCS,Asymmetry,None SEX p = 0.0151077,prob,0.28,0.07,2.3e-05
Right_without_Left_PCS,HCP,Barlo Twin,256,PCS,Asymmetry,,prob,0.1,0.07,5.4e-02
prob_pred_scaled_on_UKB,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
prob_pred_scaled_on_UKB_brain_vol,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
prob_pred_scaled_on_UKB_brain_vol_sum,HCP,Barlo Twin,256,PCS,Left,,prob,0.25,0.07,5.7e-05
prob_pred_scaled_on_UKB_2,HCP,Barlo Twin,256,PCS,Left,,prob,0.23,0.07,1.9e-04
binary_pred_scaled_on_UKB,HCP,Barlo Twin,256,PCS,Left,,binary,0.08,0.18,3.3e-01
prob_pred_scaled_on_ACCP,HCP,Barlo Twin,256,PCS,Left,,prob,0.26,0.07,4.2e-05
binary_pred_scaled_on_ACCP,HCP,Barlo Twin,256,PCS,Left,,binary,0.09,0.18,3.0e-01
prob,HCP,Barlo Twin,10,PCS,Right,None SEX p = 0.0297911,prob,0.11,0.07,4.9e-02
prob,HCP,Barlo Twin,10,PCS,Left,,prob,0.03,0.19,4.4e-01
prob2,HCP,Barlo Twin,10,PCS,Left,None SEX p = 0.0321374,prob,0.04,0.2,4.3e-01
OFC_3,HCP,Barlo Twin,256,,Left,None SEX p = 0.0008928,prob,0.11,0.19,2.9e-01
3dPC,HCP,Barlo Twin,256,,Left,None Age^2 p = 0.0279798,prob,0.18,0.17,1.5e-01
OFC_0,HCP,Barlo Twin,256,,Left,None SEX p = 0.0025470,prob,0.05,0.18,3.9e-01
4thPC,HCP,Barlo Twin,256,,Left,None Age^2 p = 0.0133047,prob,0.24,0.07,7.1e-05
OFC_2,HCP,Barlo Twin,256,,Left,None SEX p = 0.0141935,prob,0.08,0.18,3.2e-01
2dPC,HCP,Barlo Twin,256,,Left,None SEX p = 0.0983290,prob,0.18,0.06,2.2e-03
5thPC,HCP,Barlo Twin,256,,Left,,prob,0.06,0.07,1.7e-01
1stPC,HCP,Barlo Twin,256,,Left,None SEX p = 0.0542398,prob,0.0,,5.0e-01
OFC_1,HCP,Barlo Twin,256,,Left,None SEX p = 0.0001112,prob,0.18,0.06,1.5e-03
