region,p
FIP_right,5.3e-05
SFinter-SFsup_left,0.94
SFint-SR_right,0.38
SC-SPeC_right,0.33
SFmarginal-SFinfant_left,0.27
SOr-SOlf_right,0.11
SC-SPeC_left,0.022
SFint-FCMant_right,0.066
SC-SPoC_left,0.0058
CINGULATE_right,0.44
STi-SOTlat_right,2.6e-06
FColl-SRh_left,7.6e-05
SFinter-SFsup_right,0.061
SPoC_left,0.00024
SFmedian-SFpoltr-SFsup_left,0.2
SOr_right,0.62
FCLp-subsc-FCLa-INSULA_right,0.0027
Lobule_parietal_sup_left,0.00013
FCMpost-SpC_left,6.4e-05
SFmarginal-SFinfant_right,0.52
STi-STs-STpol_left,2.5e-05
Lobule_parietal_sup_right,8.8e-07
SPeC_left,0.33
SFinf-BROCA-SPeCinf_right,0.38
FColl-SRh_right,1.1e-05
SC-sylv_right,0.44
ScCal-SLi_left,0.0005
FPO-SCu-ScCal_left,3.5e-07
OCCIPITAL_left,1.1e-05
SC-SPoC_right,0.11
SsP-SPaint_right,5.4e-08
STsbr_left,0.0058
SsP-SPaint_left,0.00011
SFint-FCMant_left,0.081
OCCIPITAL_right,2e-05
STs_left,6.9e-06
SFint-SR_left,0.0024
fronto-parietal_medial_face_left,0.71
SOr-SOlf_left,0.075
ScCal-SLi_right,6.5e-07
FIP_left,0.00018
SOr_left,0.042
fronto-parietal_medial_face_right,0.43
SFinf-BROCA-SPeCinf_left,0.46
FCMpost-SpC_right,4.4e-05
SFmedian-SFpoltr-SFsup_right,0.99
STsbr_right,7.6e-05
SPoC_right,0.049
SC-sylv_left,0.75
SPeC_right,0.2
STs_right,0.0034
STi-SOTlat_left,1.2e-06
LARGE_CINGULATE_right,0.75
STi-STs-STpol_right,0.00076
LARGE_CINGULATE_left,0.028
FPO-SCu-ScCal_right,0.00013
CINGULATE_left,0.0047
FCLp-subsc-FCLa-INSULA_left,0.00076
