region,threshold,AUC,p_value,null95
CINGULATE_left,28,0.8753150481838399,0.015,0.8473165307635284
CINGULATE_left,32,0.8179976851851851,0.0,0.7229947916666666
CINGULATE_left,37,0.7494138226208641,0.0,0.6801350999292866
CINGULATE_right,28,0.8825796886582654,0.0,0.8300889547813194
CINGULATE_right,32,0.7527199074074076,0.0,0.7181901041666665
CINGULATE_right,37,0.7163645837210167,0.0,0.6722468271986303
FCLp-subsc-FCLa-INSULA_left,28,0.8781319495922906,0.0,0.7798888065233506
FCLp-subsc-FCLa-INSULA_left,32,0.857175925925926,0.0,0.6760358796296295
FCLp-subsc-FCLa-INSULA_left,37,0.7983549815772824,0.0,0.642684878484499
FCLp-subsc-FCLa-INSULA_right,28,0.9122312824314307,0.0,0.7942846553002224
FCLp-subsc-FCLa-INSULA_right,32,0.8886574074074074,0.0,0.6872453703703701
FCLp-subsc-FCLa-INSULA_right,37,0.8584986415571849,0.0,0.6469574602701997
FCMpost-SpC_left,28,0.8729429206819865,0.0,0.8250778354336545
FCMpost-SpC_left,32,0.80625,0.0,0.7008304398148149
FCMpost-SpC_left,37,0.7448732740332725,0.0,0.676137928467751
FCMpost-SpC_right,28,0.8805040770941437,0.0,0.8208005930318754
FCMpost-SpC_right,32,0.8082175925925926,0.0,0.7037789351851851
FCMpost-SpC_right,37,0.7872269157765455,0.0,0.664637686553277
FColl-SRh_left,28,0.8861378799110452,0.0,0.8125352112676056
FColl-SRh_left,32,0.8307291666666666,0.0,0.7015682870370371
FColl-SRh_left,37,0.7882317912836354,0.0,0.6629424243552048
FColl-SRh_right,28,0.9100074128984432,0.0,0.8097850259451445
FColl-SRh_right,32,0.8670138888888889,0.0,0.708287037037037
FColl-SRh_right,37,0.8379545200789014,0.0,0.6533235326956716
FIP_left,28,0.9352112676056339,0.0,0.8131949592290585
FIP_left,32,0.8686921296296295,0.0,0.6930439814814814
FIP_left,37,0.783430719416428,0.0,0.6629535896386171
FIP_right,28,0.9645663454410675,0.0,0.8080800593031874
FIP_right,32,0.8560185185185185,0.0,0.7024421296296296
FIP_right,37,0.7659756596821615,0.0,0.6582418400387062
FPO-SCu-ScCal_left,28,0.9054114158636026,0.0,0.7974277242401779
FPO-SCu-ScCal_left,32,0.8590856481481481,0.0,0.6842013888888888
FPO-SCu-ScCal_left,37,0.7851055119282445,0.0,0.6440302951356582
FPO-SCu-ScCal_right,28,0.9091178650852482,0.0,0.7757227575982208
FPO-SCu-ScCal_right,32,0.8321759259259259,0.0,0.6726475694444445
FPO-SCu-ScCal_right,37,0.7691763742602999,0.0,0.635261825896014
LARGE_CINGULATE_left,28,0.8696812453669385,0.0,0.8336693847294293
LARGE_CINGULATE_left,32,0.7860532407407408,0.0,0.7157957175925925
LARGE_CINGULATE_left,37,0.7620305928765492,0.0,0.6737373925341471
LARGE_CINGULATE_right,28,0.9043736100815419,0.0,0.832112676056338
LARGE_CINGULATE_right,32,0.7291087962962962,0.02,0.710546875
LARGE_CINGULATE_right,37,0.7089954966690237,0.0,0.6692266180356544
Lobule_parietal_sup_left,28,0.9433654558932542,0.0,0.8215418828762046
Lobule_parietal_sup_left,32,0.8870949074074074,0.0,0.7025318287037037
Lobule_parietal_sup_left,37,0.7867430868286874,0.0,0.6618891659533291
Lobule_parietal_sup_right,28,0.9687175685693106,0.0,0.8115937731653076
Lobule_parietal_sup_right,32,0.8619791666666667,0.0,0.7048958333333333
Lobule_parietal_sup_right,37,0.7723770888384384,0.0,0.662823327998809
OCCIPITAL_left,28,0.9227575982209043,0.0,0.8040696812453669
OCCIPITAL_left,32,0.8366898148148149,0.0,0.6878761574074075
OCCIPITAL_left,37,0.7876735271130297,0.0,0.6460195764635825
OCCIPITAL_right,28,0.9338769458858412,0.0,0.8159822090437361
OCCIPITAL_right,32,0.8395254629629629,0.0,0.708107638888889
OCCIPITAL_right,37,0.7571550857865942,0.0,0.6574491049164465
SC-SPeC_left,28,0.9148999258710155,0.0,0.8221645663454411
SC-SPeC_left,32,0.8145833333333333,0.0,0.6979803240740741
SC-SPeC_left,37,0.7442777922512933,0.0,0.6667218727902043
SC-SPeC_right,28,0.8707190511489992,0.0,0.8137286879169755
SC-SPeC_right,32,0.7671296296296296,0.0,0.7079629629629629
SC-SPeC_right,37,0.741077077673155,0.0,0.6589861922661803
SC-SPoC_left,28,0.9492957746478874,0.0,0.8140474425500369
SC-SPoC_left,32,0.8907407407407407,0.0,0.6961979166666666
SC-SPoC_left,37,0.7696974208195319,0.0,0.6528508690312256
SC-SPoC_right,28,0.9067457375833949,0.0,0.8059747961452927
SC-SPoC_right,32,0.8273148148148148,0.0,0.7019704861111111
SC-SPoC_right,37,0.7493766050094905,0.0,0.6559864527894599
SC-sylv_left,28,0.9546330615270571,0.0,0.8210896960711638
SC-sylv_left,32,0.8641782407407407,0.0,0.698064236111111
SC-sylv_left,37,0.7794112173880682,0.0,0.6628549629684767
SC-sylv_right,28,0.9383246849518161,0.0,0.8157968865826537
SC-sylv_right,32,0.8174768518518518,0.0,0.690228587962963
SC-sylv_right,37,0.7417469946778816,0.0,0.6509881275819718
SFinf-BROCA-SPeCinf_left,28,0.8612305411415864,0.005,0.8183543365455893
SFinf-BROCA-SPeCinf_left,32,0.7927662037037037,0.0,0.6950578703703704
SFinf-BROCA-SPeCinf_left,37,0.7245524582232312,0.0,0.6529364695373852
SFinf-BROCA-SPeCinf_right,28,0.8668643439584878,0.0,0.8046034099332839
SFinf-BROCA-SPeCinf_right,32,0.7877314814814814,0.0,0.7037094907407407
SFinf-BROCA-SPeCinf_right,37,0.7545126353790614,0.0,0.6585470244519706
SFint-FCMant_left,28,0.8229799851742031,0.12,0.8384062268346923
SFint-FCMant_left,32,0.797800925925926,0.0,0.7175491898148149
SFint-FCMant_left,37,0.7662361829617774,0.0,0.6755201161189475
SFint-FCMant_right,28,0.9199406968124537,0.0,0.8476130467012603
SFint-FCMant_right,32,0.7512731481481482,0.005,0.7245341435185185
SFint-FCMant_right,37,0.739811678886449,0.0,0.6726599426848785
SFint-SR_left,28,0.8759080800593032,0.015,0.8462564862861377
SFint-SR_left,32,0.7864004629629631,0.0,0.7135532407407408
SFint-SR_left,37,0.722207748706688,0.0,0.6734768692545312
SFint-SR_right,28,0.8920681986656782,0.0,0.8333135656041512
SFint-SR_right,32,0.7787037037037037,0.0,0.7177228009259259
SFint-SR_right,37,0.7414120361755183,0.0,0.6714838661654695
SFinter-SFsup_left,28,0.8729429206819866,0.01,0.8345441067457375
